2,2,"[4,4]","[200, 250]","[100, 200]",100,5000
20,21,"[5,6,7,8,9,8,5,5,7,5,6,6,6,6,6,6,6,6,6,6,7]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300, 290, 300, 280, 300, 300, 240]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 280, 290, 290, 300, 300, 300, 300, 300, 300, 300, 300]",100,5000
20,20,"[5,6,7,8,9,7,5,5,8,5,6,6,6,6,7,6,6,6,6,6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[200, 280, 190, 300, 250, 350, 300, 280, 290, 300, 280, 300, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000
20,20,"[5, 6, 7, 8, 9, 8, 5, 5, 7, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[200, 280, 190, 300, 250, 350, 300, 280, 290, 300, 280, 300, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000
20,22,"[5, 6, 7, 8, 9, 7, 5, 5, 8, 5, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 4]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300, 240, 250]","[200, 280, 190, 300, 250, 350, 300, 280, 290, 300, 280, 300, 290, 300, 300, 300, 300, 300, 300, 300, 250, 280]",100,5000
20,20,"[5, 6, 7, 8, 9, 8, 5, 5, 3, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[200, 280, 190, 300, 250, 350, 300, 280, 290, 300, 280, 300, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000
20,20,"[5, 6, 7, 8, 9, 7, 5, 5, 8, 5, 6, 6, 5, 6, 7, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[200, 280, 190, 300, 250, 350, 300, 280, 290, 300, 280, 300, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000

5,5,"[6,6,5,6,6]","[300, 200, 350, 300, 180]","[2.00, 2.00, 1.40, 1.80, 3.00]",100,0.18,7.02e-6,5000
10,10,"[5,6,7,8,9,10,5,5,5,5]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340]","[2, 2.8, 1.9, 3, 2.5, 3.5, 2.8, 2.8, 2.9, 3]",100,5000
15,15,"[5, 6, 7, 8, 9, 8, 5, 5, 6, 5, 7, 5, 8, 5, 5]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 300, 300, 300, 300, 300]","[2, 2.8, 1.9, 3, 2.5, 3.5, 2.8, 2.8, 2.9, 3, 3, 2.9, 3, 2.8, 2.8]",100,5000
15,15,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300]","[2, 2.80, 1.90, 3.00, 2.50, 3.50, 2.80, 2.80, 2.90, 3.00, 2.80, 2.90, 2.90, 3,00, 3.00]",100,5000
20,20,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300, 290, 300, 280, 300, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 2.80, 2.80, 2.90, 3.00, 2.80, 2.90, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,5000
20,20,"[5, 6, 7, 8, 9, 8, 5, 5, 3, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 3.00, 2.80, 2.90, 3.00, 2.80, 3.00, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,5000
20,20,"[5, 6, 7, 8, 9, 7, 5, 5, 8, 5, 6, 6, 5, 6, 7, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 3.00, 2.80, 2.90, 3.00, 2.80, 3.00, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,5000
15,15,"[5, 6, 7, 8, 9, 8, 5, 5, 6, 5, 7, 5, 8, 5, 5]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 300, 300, 300, 300, 300]","[2, 2.8, 1.9, 3, 2.5, 3.5, 2.8, 2.8, 2.9, 3, 3, 2.9, 3, 2.8, 2.8]",100,0.18,7.02e-6,5000
15,15,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300]","[2, 2.80, 1.90, 3.00, 2.50, 3.50, 2.80, 2.80, 2.90, 3.00, 2.80, 2.90, 2.90, 3,00, 3.00]",100,0.18,7.02e-6,5000
20,20,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300, 290, 300, 280, 300, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 2.80, 2.80, 2.90, 3.00, 2.80, 2.90, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,0.18,7.02e-6,5000
20,20,"[5, 6, 7, 8, 9, 8, 5, 5, 3, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 3.00, 2.80, 2.90, 3.00, 2.80, 3.00, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,0.18,7.02e-6,5000
20,20,"[5, 6, 7, 8, 9, 7, 5, 5, 8, 5, 6, 6, 5, 6, 7, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 320, 280, 300, 340, 340, 290, 190, 280, 300, 280, 300, 300, 300, 200, 300]","[2.00, 2.80, 1.90, 3.00, 2.50, 3.50, 3.00, 2.80, 2.90, 3.00, 2.80, 3.00, 2.90, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00]",100,0.18,7.02e-6,5000
